"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3569","Verifies the Ethnicity filter works correctly for all rows","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","18476","Insights-Company - Verify the Certificate Status","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","31887","Insights-Workers - Verify Favorite Status Persistence","","2026-05-11","failed","2026-05-11","","Insights Workers - Favourite Page","",""
"","11517","Verify the table header filter - name","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","3788","Insights-Company - Last 7 Days selection","","2026-05-11","passed","2026-05-11","","Insights-Company Module - Calendar & Download Validation","",""
"","8010","Verifying Alert History Download from Send Alert Flow","","2026-05-11","passed","2026-05-11","","Worker Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","3558","Verify Safety Audit Drawer UI and Default Filters Display Correctly","","2026-05-11","passed","2026-05-11","","Worker Module - Safety Audit","",""
"","1558","Verify the table header filter exists for applicable table headers","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","6397","Insights-Company - Validating the search functionality - run twice","","2026-05-11","passed","2026-05-11","","Insight Company - Search ","",""
"","1620","Should detect and show invalid phone number message from CSV upload","","2026-05-11","passed","2026-05-11","","Worker Module - File Upload and Download","",""
"","3100","submiting device with instance id and without mac id","","2026-05-11","passed","2026-05-11","","Worker Module - File Upload and Download","",""
"","1599","should show toast message for invalid phone number input","","2026-05-11","passed","2026-05-11","","Worker Module - Personal Details Page","",""
"","3218","WorkForce-Company - Should download the companies CSV template successfully","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Download CSV","",""
"","885","marks lowercase rule as unmet when password has no lowercase letter","","2026-05-11","passed","2026-05-11","","Sign Up","",""
"","4170","Insight-Worker UI vs CSV - robust multi-row worker validation","","2026-05-11","passed","2026-05-11","","Insight Worker - Download","",""
"","2177","Validate the Change Value for multiple user using select feature","","2026-05-11","passed","2026-05-11","","Worker Module - overflowMenu","",""
"","5929","Verify Comment has no character limit","","2026-05-11","passed","2026-05-11","","Worker Module - Safety Audit","",""
"","2525","WorkForce-Company - search with the status Active or Inactive","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Search","",""
"","2308","Insights-workers - Verify page scroll resets to top after navigating between pages","","2026-05-11","passed","2026-05-11","","Insights-Workers Module - Pagination","",""
"","8856","Insights-Company - Verify the fields on the report - Company Name, Date, Number of Workers, On-site Hours","","2026-05-11","passed","2026-05-11","","Insights Company Module - Download","",""
"","4144","Enforces maximum character limit for General Communication messages","","2026-05-11","passed","2026-05-11","","Worker Alerts & SMS Communication Flow (UI + Twilio Integration)","",""
"","9571","Verify search supports case insensitivity (Uppercase, Lowercase, Mixed Case)","","2026-05-11","passed","2026-05-11","","Worker Module - Search","",""
"","2321","Insights-workers - Verify ellipsis appears when total pages exceed threshold","","2026-05-11","passed","2026-05-11","","Insights-Workers Module - Pagination","",""
"","32405","Insight-worker validate filters except Access Status","","2026-05-11","failed","2026-05-11","","Insight Worker - Filter Functionality","",""
"","0","Insights-Worker - Verify Safety Alert Date Filter","","2026-05-11","skipped","2026-05-11","","Insight Worker - Filter Functionality","",""
